"Timestamp","1. Cuánto tiempo llevas usando un teléfono inteligente?","2. Qué marca de teléfono inteligente tienes?","3. Para qué usas principalmente tu teléfono?","4. A qué hora del día usas más tu teléfono celular?","5. Al decidir cuánto pagar por un teléfono celular que está comprando, ¿qué considera más importante?","6. Cuántas aplicaciones tienes?","7. Enumera las 5 aplicaciones que más utilizas.","8. En una palabra, especifica una característica adicional que te gustaría tener que actualmente no está disponible.","9. Con qué frecuencia compras un nuevo teléfono celular?","10. Cuáles son las características más importantes al elegir un teléfono?","11. Para comunicarse con las personas, prefiere llamar o enviar un mensaje de texto?","12. Cuál es su aplicación de mensajería preferida (por ejemplo, WhatsApp)?","13. Te sientes seguro usando la opción de pago inteligente desde tu teléfono (Samsung Pay, Applepay)?","14. Cuál es el rango de precio promedio que estás dispuesto a gastar en un nuevo teléfono celular (dólares estadounidenses)?","15. En una escala del 1 al 10 (10 siendo mucho), cuánto te distrae el teléfono de tu vida cotidiana?","16. De qué país eres y en qué país vives (escribe tus respuestas en el mismo orden)?","17. Qué edad tienes?"
"2018/05/05 9:54:09 AM GMT+2","Entre 2 - 4 años","Samsung","Hacer llamadas;Tomar fotos;Redes Sociales;Escuchar música","Tarde en el noche","Características y funciones","11 - 35","Whatsapp, facebook, fligthradar24,  instagram, Spotify ","Bateria extra","3 - 4 años","Sistema operativo","Llamada","WhatsApp","No lo usas","$301 - $700","7","Colombia, Noruega","36 - 45"
"2018/05/05 10:00:03 AM GMT+2","Entre 2 - 4 años","Xiaomi","Tomar fotos","Tarde en el noche","Características y funciones","1 - 10","WhatsApp Messenger Facebook pinterest Snapchat ","Creatividad","3 - 4 años","Sistema operativo","Texto","WhatsApp","No","0 - $300","9","Colombia, Tabio cundinamarca","26 - 35"
"2018/05/05 10:02:19 AM GMT+2","Más de 6 años","Nokia","Hacer llamadas;Tomar fotos;Enviar mensajes de texto;Redes Sociales;Internet","Tarde","Características y funciones","1 - 10","Google, whatsapp, facebook,Messenger, galleria.","snapchat para Windows ","1 - 2 años","Valor por dinero","Llamada","Line","No lo usas","$301 - $700","4","Colombia, Noruega ","36 - 45"
"2018/05/05 10:35:19 AM GMT+2","Más de 6 años","Samsung","Redes Sociales","Mañana","Estatus de la marca","1 - 10","Whatsapp. Facebook. Google. Banco. Etb","Seguridad","1 - 2 años","Marca","Llamada","WhatsApp","No lo usas","0 - $300","7","Colombia. Colombia","46 - 60"
"2018/05/05 10:45:29 AM GMT+2","","","","","","","","","","","","","","","7","",""
"2018/05/05 11:18:39 AM GMT+2","Menos de 2 años","Sony","Hacer llamadas;Tomar fotos;Enviar mensajes de texto;Redes Sociales;Mapas;Internet","Tarde en el noche","Características y funciones","Más de 60","Facebook, WhatsApp, Instagram, fotos, flightradar24","frio-resistencia","Más de 4 años","Píxeles de la cámara","Llamada","WhatsApp","No lo usas","$301 - $700","9","Colombia Noruega","46 - 60"
"2018/05/05 1:12:52 PM GMT+2","","","","","","","","","","","","","","","","","46 - 60"
"2018/05/05 2:08:06 PM GMT+2","Entre 2 - 4 años","Samsung","Hacer llamadas;Tomar fotos;Redes Sociales;Mapas;Internet;Juegos","Noche","Características y funciones","11 - 35","Facebook, pinterest, mercadolibre, lumosity, bancos","Pila interminable","3 - 4 años","Valor por dinero","Llamada","WhatsApp","No","$301 - $700","7","Colombia / colombia","36 - 45"
"2018/05/05 2:13:17 PM GMT+2","Más de 6 años","Motorola","Internet","Noche","Características y funciones","1 - 10","Google, cámara, Whatsapp, facebook y YouTube","Descargar música","Más de 4 años","Sistema operativo","Llamada","WhatsApp","No lo usas","$301 - $700","7","Colombia Colombia","46 - 60"
"2018/05/05 2:39:17 PM GMT+2","Más de 6 años","Samsung;Huawei","Hacer llamadas","Tarde","Características y funciones","11 - 35","Google, Youtube, whast, camara, contactos","Ninguna","1 - 2 años","Sistema operativo","Llamada","WhatsApp","Sí","0 - $300","5","Colombia soy y vivo","36 - 45"
"2018/05/05 3:01:10 PM GMT+2","Más de 6 años","Iphone","Hacer llamadas;Tomar fotos;Redes Sociales;Internet;Juegos","Noche","Características y funciones","11 - 35","Facebook, instagram, whatsApp, twiter","Bateria","3 - 4 años","Sistema operativo","Texto","WhatsApp","Sí","$301 - $700","8","Colombia, trabajo dependiente","36 - 45"
"2018/05/05 4:22:29 PM GMT+2","Más de 6 años","Iphone","Hacer llamadas;Tomar fotos;Enviar mensajes de texto;Redes Sociales;Mapas;Internet;Juegos;Escuchar música","Tarde en el noche","Características y funciones","11 - 35","Whatsapp Facebook Instagram ","","3 - 4 años","Sistema operativo","Llamada","WhatsApp","Sí","0 - $300","10","","15 - 25"
